Region/Country/Area,,Year,Series,Value
28,Antigua and Barbuda,2019,Emissions per capita (Kilograms of carbon dioxide),7.1
28,Antigua and Barbuda,2020,Emissions per capita (Kilograms of carbon dioxide),6.8
28,Antigua and Barbuda,2021,Emissions per capita (Kilograms of carbon dioxide),6.9
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),"89,331"
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),"92,152"
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),"151,860"
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),"176,479"
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),"184,550"
32,Argentina,2019,Emissions (thousand metric tons of carbon dioxide),"169,807"
32,Argentina,2020,Emissions (thousand metric tons of carbon dioxide),"157,882"
32,Argentina,2021,Emissions (thousand metric tons of carbon dioxide),"183,131"
32,Argentina,1975,Emissions per capita (Kilograms of carbon dioxide),3.4
32,Argentina,1985,Emissions per capita (Kilograms of carbon dioxide),3
32,Argentina,2005,Emissions per capita (Kilograms of carbon dioxide),3.9
32,Argentina,2010,Emissions per capita (Kilograms of carbon dioxide),4.3
32,Argentina,2015,Emissions per capita (Kilograms of carbon dioxide),4.3
32,Argentina,2019,Emissions per capita (Kilograms of carbon dioxide),3.8
32,Argentina,2020,Emissions per capita (Kilograms of carbon dioxide),3.5
32,Argentina,2021,Emissions per capita (Kilograms of carbon dioxide),4
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),"4,137"
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),"4,057"
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),"5,360"
51,Armenia,2019,Emissions (thousand metric tons of carbon dioxide),"6,083"
51,Armenia,2020,Emissions (thousand metric tons of carbon dioxide),"6,527"
51,Armenia,2021,Emissions (thousand metric tons of carbon dioxide),"7,078"
51,Armenia,2005,Emissions per capita (Kilograms of carbon dioxide),1.4
51,Armenia,2010,Emissions per capita (Kilograms of carbon dioxide),1.4
51,Armenia,2015,Emissions per capita (Kilograms of carbon dioxide),1.9
51,Armenia,2019,Emissions per capita (Kilograms of carbon dioxide),2.2
51,Armenia,2020,Emissions per capita (Kilograms of carbon dioxide),2.3
51,Armenia,2021,Emissions per capita (Kilograms of carbon dioxide),2.5
533,Aruba,2005,Emissions (thousand metric tons of carbon dioxide),"4,293"
533,Aruba,2010,Emissions (thousand metric tons of carbon dioxide),"4,088"
533,Aruba,2015,Emissions (thousand metric tons of carbon dioxide),910
533,Aruba,2019,Emissions (thousand metric tons of carbon dioxide),843
533,Aruba,2020,Emissions (thousand metric tons of carbon dioxide),834
533,Aruba,2021,Emissions (thousand metric tons of carbon dioxide),874
533,Aruba,2005,Emissions per capita (Kilograms of carbon dioxide),45.4
533,Aruba,2010,Emissions per capita (Kilograms of carbon dioxide),40.7
533,Aruba,2015,Emissions per capita (Kilograms of carbon dioxide),8.7
533,Aruba,2019,Emissions per capita (Kilograms of carbon dioxide),7.9
533,Aruba,2020,Emissions per capita (Kilograms of carbon dioxide),7.8
533,Aruba,2021,Emissions per capita (Kilograms of carbon dioxide),8.2
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),"177,887"
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),"244,054"
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),"354,443"
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),"392,310"
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),"368,057"
36,Australia,2019,Emissions (thousand metric tons of carbon dioxide),"391,752"
36,Australia,2020,Emissions (thousand metric tons of carbon dioxide),"383,458"
36,Australia,2021,Emissions (thousand metric tons of carbon dioxide),"366,813"
36,Australia,1975,Emissions per capita (Kilograms of carbon dioxide),12.8
36,Australia,1985,Emissions per capita (Kilograms of carbon dioxide),15.4
36,Australia,2005,Emissions per capita (Kilograms of carbon dioxide),17.6
36,Australia,2010,Emissions per capita (Kilograms of carbon dioxide),17.8
36,Australia,2015,Emissions per capita (Kilograms of carbon dioxide),15.5
36,Australia,2019,Emissions per capita (Kilograms of carbon dioxide),15.4
36,Australia,2020,Emissions per capita (Kilograms of carbon dioxide),14.9
36,Australia,2021,Emissions per capita (Kilograms of carbon dioxide),14.2
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),"53,100"
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),"52,837"
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),"73,783"
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),"65,988"
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),"59,032"
40,Austria,2019,Emissions (thousand metric tons of carbon dioxide),"60,352"
40,Austria,2020,Emissions (thousand metric tons of carbon dioxide),"54,905"
40,Austria,2021,Emissions (thousand metric tons of carbon dioxide),"57,778"
40,Austria,1975,Emissions per capita (Kilograms of carbon dioxide),7
40,Austria,1985,Emissions per capita (Kilograms of carbon dioxide),7
40,Austria,2005,Emissions per capita (Kilograms of carbon dioxide),9
40,Austria,2010,Emissions per capita (Kilograms of carbon dioxide),7.9
40,Austria,2015,Emissions per capita (Kilograms of carbon dioxide),6.8
40,Austria,2019,Emissions per capita (Kilograms of carbon dioxide),6.8
40,Austria,2020,Emissions per capita (Kilograms of carbon dioxide),6.2
40,Austria,2021,Emissions per capita (Kilograms of carbon dioxide),6.5
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),"32,620"
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),"26,769"
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),"33,677"
31,Azerbaijan,2019,Emissions (thousand metric tons of carbon dioxide),"35,297"
31,Azerbaijan,2020,Emissions (thousand metric tons of carbon dioxide),"33,663"
31,Azerbaijan,2021,Emissions (thousand metric tons of carbon dioxide),"35,228"
