,Country,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
79,Mongolia,99.9,93.0,98.0,97.9,91.1,74.1,235,251,104.0,7.9,55.8,64.4,60.1,6.8,7.2,7.0,116.9,15.6,0.0,4.9,12.8,261.1,13.2,5.1,28.7,40.0,35.9,53.5,62.0,3373,1721,739,6.4,27.9,5.6,1.7,2.7,1.36,1.34,98.3,1564.0,1.3
80,Montenegro,97.4,101.1,105.3,109.7,83.7,82.1,36,38,32.0,11.1,42.5,56.4,49.2,35.4,26.1,30.3,24.5,4.3,0.3,2.2,2.6,243.3,5.5,,84.3,87.0,35.3,33.1,31.8,1794,1215,1922,14.3,19.2,18.3,45.8,0.63,0.33,0.3,92.6,14.0,27.1
81,Morocco,58.6,68.6,101.2,110.8,32.7,37.0,1265,4023,683.0,0.6,25.6,76.2,50.6,11.6,10.8,11.0,107.2,1.5,1.0,0.3,2.4,204.0,3.1,21.4,53.5,76.8,,55.1,33.2,40338,38728,1456,-6.6,29.2,7.8,72.7,32.47,16.12,16.35,101.4,447.0,0.7
82,Mozambique,15.8,22.7,93.8,112.0,3.3,5.3,269,3943,37.0,30.0,83.4,80.2,81.9,2.5,3.7,3.0,6.3,5.4,,,,27.5,3.9,,,,9.6,,,3385,3062,196,2.1,45.8,4.5,29.2,23.0,11.94,11.06,92.6,799.0,0.1
83,Myanmar,50.5,50.8,106.8,102.4,35.0,33.7,1938,4948,651.0,6.2,56.4,81.4,68.7,0.8,0.6,0.7,5.4,1.4,0.0,0.6,2.6,3.5,0.5,33.1,43.2,67.9,61.1,61.0,60.8,9497,8297,193,6.9,28.2,8.0,75.0,49.02,24.53,24.5,99.9,677.0,0.1
84,Nepal,64.7,75.7,108.9,121.8,21.6,27.3,1445,4030,609.0,5.9,21.8,60.0,40.6,12.3,10.1,10.7,4.0,3.3,0.5,,,2.0,,27.6,29.4,37.9,26.7,27.0,28.5,8969,4534,203,3.5,36.0,7.4,185.8,27.34,13.94,13.41,96.2,147.0,0.2
85,Netherlands (Kingdom of the),125.5,130.9,106.5,109.3,107.2,105.8,783,1278,627.0,36.0,55.6,71.5,63.4,6.9,5.0,5.9,412.4,1.1,5.6,0.7,1.5,4661.5,44.8,,100.0,,97.4,97.5,97.5,520709,452287,29281,3.1,17.6,21.7,498.1,16.77,8.49,8.29,97.7,42.0,44.0
86,New Zealand,102.4,103.7,99.4,100.2,149.9,133.9,260,353,266.0,29.2,60.8,75.0,67.7,4.2,3.5,3.8,234.3,1.5,7.0,1.3,1.7,3089.9,59.6,,89.3,,,86.3,,100997,63152,17189,4.6,20.9,18.3,16.4,4.35,2.22,2.13,95.7,268.0,47.4
87,Nicaragua,76.9,73.5,111.2,116.7,59.8,48.0,301,945,137.0,9.7,40.0,85.1,61.9,5.8,5.2,5.4,354.5,13.4,0.2,2.6,24.5,266.0,61.9,31.9,51.7,66.6,,,,5733,4118,872,5.9,34.2,6.4,47.7,5.74,2.92,2.82,96.5,130.0,1.0
88,Niger,10.2,15.1,39.3,55.1,2.9,4.7,152,1064,30.0,1.2,68.7,89.7,79.2,2.7,3.4,3.1,,4.4,,,,,,,,,3.5,5.4,15.2,3881,2432,248,3.3,49.4,3.9,13.1,16.55,8.16,8.39,102.8,1267.0,0.0
89,Nigeria,35.0,41.2,90.8,108.5,28.2,35.4,3624,22115,2773.0,4.7,56.9,63.6,60.2,3.6,3.8,3.7,11.2,21.7,0.5,,,12.7,1.1,13.9,21.2,30.7,24.1,24.7,25.6,155089,50504,467,-0.1,44.4,4.8,183.0,166.64,82.75,83.89,101.4,924.0,0.1
90,North Macedonia,92.7,93.6,91.6,90.8,69.2,74.7,118,110,96.0,7.5,42.8,64.5,53.6,38.1,36.8,37.3,11.8,2.4,1.2,1.2,3.5,233.8,5.9,74.5,80.3,84.7,17.2,12.7,9.4,5748,4707,2373,-1.1,19.3,16.7,82.3,2.05,1.04,1.01,96.4,26.0,2.5
