,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
133,Sao Tome and Principe,Africa,2024,F,2,2,35,49,84,,,,,,,,,,14.6,37.8,70.4,53.9,22.0,9.9,14.2,,,,,,,,,,,,,,,,,,37.8,6.1,245.4,0.24,0.12,0.12,98.8,,
1067,Saudi Arabia,Middle East,2015,NF,7,7,3,7,10,108.3,105.0,105.2,100.3,98.7,101.3,1348.0,2906.0,1299.0,19.9,22.2,79.9,56.6,22.2,2.5,5.6,1.3,,,,,,0.1,,,,,79.7,82.4,669484.0,669484.0,20442.0,4.7,25.1,3.7,13.9,29.97,11.16,18.82,168.6,,69.6
870,Saudi Arabia,Middle East,2019,NF,7,7,1,6,7,,,,,,,,,,,,,,,,,52.7,0.8,0.2,,,,1.9,,,,,,,,,,,,,,,,,,,
813,Saudi Arabia,Middle East,2020,NF,7,7,1,6,7,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,678794.0,734271.0,20398.0,-4.3,,,,,,,,,97.9
642,Saudi Arabia,Middle East,2021,NF,7,7,1,6,7,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,705415.0,868586.0,24161.0,3.9,,,,,,,,,100.0
470,Saudi Arabia,Middle East,2022,NF,7,7,1,6,7,107.3,108.3,101.7,103.6,133.2,133.5,1603.0,3311.0,1800.0,19.9,,,,,,,,,,,,,,,,,,79.9,82.4,767097.0,1108149.0,30436.0,8.7,24.6,4.7,15.0,32.18,12.63,19.54,154.7,2207.0,100.0
301,Saudi Arabia,Middle East,2023,NF,7,7,1,7,8,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Saudi Arabia,Middle East,2024,NF,7,7,1,7,8,,,,,,,,,,19.9,34.2,79.6,61.2,14.8,1.8,4.8,,,,,,,,,,,,,,,,,,23.8,5.2,15.8,33.96,13.4,20.56,153.4,,
1129,Senegal,Africa,2014,F,2,2,33,46,79,62.6,59.2,90.1,80.3,33.3,38.0,786.0,1927.0,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Senegal,Africa,2015,F,2,2,33,45,78,,,89.8,80.1,,,806.0,1977.0,330.0,42.7,34.3,57.7,45.5,7.3,6.4,6.8,,,0.0,,,17.4,1.8,10.9,24.5,40.5,17.2,17.1,17.0,17761.0,17761.0,1237.0,6.4,42.4,5.3,75.8,14.59,7.31,7.29,99.7,,21.7
927,Senegal,Africa,2016,F,2,2,33,45,78,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,
814,Senegal,Africa,2020,PF,3,3,29,42,71,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,22846.0,24531.0,1492.0,1.3,,,,,,,,,53.3
643,Senegal,Africa,2021,PF,3,3,29,42,71,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,24340.0,27569.0,1634.0,6.5,,,,,,,,,55.0
471,Senegal,Africa,2022,PF,3,3,29,39,68,60.3,48.6,90.2,76.5,39.0,32.8,892.0,2321.0,394.0,42.7,,,,,,,,,,,,,,12.6,26.7,41.3,14.2,14.1,13.9,25302.0,27776.0,1604.0,4.0,39.2,5.5,91.7,17.65,8.67,8.98,103.5,197.0,60.0
302,Senegal,Africa,2023,PF,3,3,29,39,68,,,,,,,,,,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Senegal,Africa,2024,PF,3,3,28,39,67,,,,,,,,,,46.1,37.5,63.6,50.1,3.1,2.8,2.9,,,,,,,,,,,,,,,,,,38.2,5.6,96.1,18.5,9.1,9.41,103.4,,
1069,Serbia,Europe,2015,F,2,2,31,49,80,101.1,101.7,102.1,102.3,94.6,91.2,290.0,279.0,263.0,34.0,43.3,60.8,51.6,18.7,16.8,17.7,18.9,1.3,0.2,0.8,1.9,325.6,3.3,66.5,74.9,81.5,30.1,27.1,24.8,39656.0,39656.0,5274.0,1.8,14.3,26.9,93.5,7.18,3.76,3.42,90.9,,65.3
815,Serbia,Europe,2020,PF,4,3,23,43,66,,,,,,,,,,37.7,,,,,,,,,,,,,,,,,,,,45204.0,53356.0,7251.0,-0.9,,,,,,,,,78.4
644,Serbia,Europe,2021,PF,4,3,22,42,64,,,,,,,,,,39.2,,,,,,,,,,,,,,,,,,,,48616.0,63082.0,8645.0,7.5,,,,,,,,,81.2
472,Serbia,Europe,2022,PF,4,3,21,41,62,94.4,94.1,89.5,88.8,88.7,84.6,257.0,254.0,246.0,40.0,,,,,,,73.4,1.0,0.2,0.5,1.6,243.4,6.7,66.6,75.1,81.5,29.3,25.4,22.4,49711.0,63563.0,8802.0,2.3,14.4,29.0,88.5,6.79,3.56,3.23,90.8,88.0,83.5
303,Serbia,Europe,2023,PF,4,3,20,40,60,,,,,,,,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Serbia,Europe,2024,PF,4,3,18,39,57,,,,,,,,,,38.0,51.5,68.6,59.6,6.9,6.7,6.8,,,,,,,,,,,,,,,,,,14.3,29.5,87.8,6.74,3.54,3.2,90.3,,
1130,Seychelles,Africa,2014,PF,3,3,25,42,67,,,,,,,,,,,,,,,,,,16.3,,5.3,26.5,,,,,,,,,,,,,,,,,,,,,
1070,Seychelles,Africa,2015,PF,3,3,25,42,67,107.9,105.0,100.2,99.2,58.9,50.1,4.0,9.0,3.0,43.8,,,,,,,,7.1,,,,,,,,,,,,1432.0,1432.0,14434.0,9.7,21.4,10.2,234.6,0.11,0.05,0.06,116.3,,54.3
816,Seychelles,Africa,2020,PF,3,3,29,43,72,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,1758.0,1379.0,13068.0,-8.5,,,,,,,,,84.8
645,Seychelles,Africa,2021,F,2,3,34,43,77,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,1802.0,1498.0,14070.0,2.5,,,,,,,,,80.7
473,Seychelles,Africa,2022,F,2,2,34,45,79,99.1,94.4,98.0,97.3,64.0,56.8,5.0,10.0,3.0,22.9,,,,,,,,9.3,,,,,,,,,,,,1869.0,1995.0,18623.0,3.7,20.3,12.7,274.7,0.13,0.06,0.07,122.6,0.0,86.7
304,Seychelles,Africa,2023,F,2,2,34,45,79,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Seychelles,Africa,2024,F,2,2,34,45,79,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,20.0,13.2,285.4,0.13,0.06,0.07,123.0,,
1071,Sierra Leone,Africa,2015,PF,3,3,28,37,65,53.3,55.6,118.7,114.1,22.3,27.9,289.0,1360.0,160.0,12.4,55.1,57.3,56.2,3.7,5.7,4.7,,1.7,,,,,,6.1,8.4,11.8,6.7,10.8,16.7,4248.0,4248.0,581.0,-20.5,41.8,4.9,98.1,7.04,3.54,3.5,99.0,,6.3
817,Sierra Leone,Africa,2020,PF,3,3,28,37,65,,,,,,,,,,12.3,,,,,,,,2.1,,,,,,,,,,,,5004.0,4063.0,493.0,-2.0,,,,,,,,,27.5
646,Sierra Leone,Africa,2021,PF,3,3,28,37,65,92.2,87.2,155.9,147.6,55.6,55.2,537.0,1964.0,409.0,12.3,,,,,,,,,,,,,,,,,,,,5210.0,4249.0,505.0,4.1,,,,,,,,,27.6
474,Sierra Leone,Africa,2022,PF,3,3,28,37,65,,,,,,,,,,12.3,,,,,,,,,,,,,,8.7,10.3,12.2,9.8,15.4,22.5,5406.0,3481.0,405.0,3.8,39.0,5.1,115.4,8.28,4.15,4.13,99.5,72.0,30.4
305,Sierra Leone,Africa,2023,PF,3,3,27,36,63,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Sierra Leone,Africa,2024,PF,3,3,24,36,60,,,,,,,,,,29.5,51.4,56.2,53.8,2.1,4.1,3.2,,,,,,,,,,,,,,,,,,38.1,5.2,120.5,8.64,4.33,4.31,99.5,,
1072,Singapore,Asia,2015,PF,4,4,19,32,51,104.2,105.4,101.3,102.0,109.6,111.2,85.0,239.0,101.0,25.3,62.3,79.2,71.2,4.0,3.7,3.8,8.4,0.2,,0.1,0.4,269.1,25.8,,100.0,100.0,,100.0,100.0,307998.0,307998.0,54513.0,3.0,12.7,13.7,8089.8,5.53,2.64,2.89,109.5,,79.0
818,Singapore,Asia,2020,PF,4,4,19,31,50,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,336462.0,348392.0,58951.0,-3.9,,,,,,,,,92.0
647,Singapore,Asia,2021,PF,4,4,19,29,48,100.3,100.2,99.7,100.1,105.6,106.2,82.0,234.0,85.0,29.5,,,,,,,,,,,,,,,,,,,,366348.0,423797.0,71334.0,8.9,,,,,,,,,96.9
475,Singapore,Asia,2022,PF,4,4,19,28,47,,,,,,,,,,29.1,,,,,,,7.7,0.1,,0.1,0.2,127.9,33.6,,100.0,100.0,,100.0,100.0,379709.0,466789.0,78115.0,3.6,12.0,18.1,8272.2,5.65,2.73,2.92,106.9,1.0,96.0
306,Singapore,Asia,2023,PF,4,4,19,28,47,,,,,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Singapore,Asia,2024,PF,4,4,19,29,48,,,,,,,,,,29.3,60.5,75.0,68.1,3.7,3.3,3.5,,,,,,,,,,,,,,,,,,11.7,19.1,8539.4,5.83,2.82,3.01,106.9,,
1073,Slovakia,Europe,2015,F,1,1,37,53,90,96.1,96.8,98.3,98.3,88.6,85.0,254.0,216.0,200.0,18.7,52.0,67.9,59.7,12.9,10.3,11.5,34.3,0.9,1.6,0.5,1.1,458.7,11.9,,98.9,,75.5,82.5,88.5,88865.0,88865.0,16382.0,5.2,15.3,20.8,110.5,5.42,2.78,2.64,95.1,,77.6
819,Slovakia,Europe,2020,F,1,2,36,52,88,,,,,,,,,,20.7,,,,,,,,,,,,,,,,,,,,96132.0,106731.0,19560.0,-3.3,,,,,,,,,89.9
648,Slovakia,Europe,2021,F,1,1,37,53,90,,,,,,,,,,22.7,,,,,,,,,,,,,,,,,,,,100736.0,118576.0,21767.0,4.8,,,,,,,,,88.9
476,Slovakia,Europe,2022,F,1,1,37,53,90,95.8,96.4,100.4,100.2,88.9,85.1,274.0,233.0,183.0,21.3,,,,,,,22.9,0.7,0.8,0.6,0.8,198.8,10.6,,99.2,,75.5,82.5,88.5,102499.0,115305.0,20432.0,1.8,16.0,23.9,111.6,5.47,2.8,2.67,95.4,49.0,91.4
307,Slovakia,Europe,2023,F,1,1,37,53,90,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Slovakia,Europe,2024,F,1,1,37,53,90,,,,,,,,,,22.7,55.5,67.7,61.4,5.8,5.6,5.7,,,,,,,,,,,,,,,,,,15.8,24.8,112.3,5.51,2.82,2.69,95.4,,
1074,Slovenia,Europe,2015,F,1,1,38,53,91,98.6,98.6,98.3,98.4,118.4,117.2,55.0,116.0,89.0,36.7,51.9,62.9,57.3,10.1,8.1,9.0,74.0,1.0,0.1,1.0,0.9,1095.6,12.4,,95.2,,,79.2,,43090.0,43090.0,20708.0,2.2,14.8,25.0,102.3,2.06,1.04,1.02,98.3,,73.1
820,Slovenia,Europe,2020,F,1,1,39,55,94,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,48260.0,53735.0,25375.0,-4.2,,,,,,,,,86.6
649,Slovenia,Europe,2021,F,1,1,39,56,95,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,52232.0,61832.0,29174.0,8.2,,,,,,,,,89.0
477,Slovenia,Europe,2022,F,1,2,38,52,90,97.9,97.3,100.3,101.0,118.3,115.4,65.0,133.0,90.0,28.9,,,,,,,5.4,0.6,0.0,0.5,0.8,1016.5,13.6,,98.3,,,84.0,,53517.0,59982.0,28295.0,2.5,15.1,27.6,105.0,2.12,1.05,1.06,100.8,20.0,88.9
308,Slovenia,Europe,2023,F,1,1,39,56,95,,,,,,,,,,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Slovenia,Europe,2024,F,1,1,39,57,96,,,,,,,,,,37.8,54.0,63.1,58.6,3.5,3.2,3.4,,,,,,,,,,,,,,,,,,14.7,28.6,105.2,2.12,1.05,1.06,101.0,,
1075,Solomon Islands,Asia,2015,PF,3,3,25,43,68,79.1,75.0,112.4,110.6,,,32.0,104.0,,2.0,82.5,85.8,84.2,0.8,0.7,0.7,,,,,,,,,,,,,,1308.0,1308.0,2135.0,1.7,40.0,5.4,22.2,0.64,0.31,0.33,104.7,,10.0
871,Solomon Islands,Asia,2019,F,2,2,30,49,79,76.8,71.3,104.9,103.8,,,33.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Solomon Islands,Asia,2020,F,2,2,30,49,79,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,1437.0,1536.0,2222.0,-3.4,,,,,,,,,39.6
650,Solomon Islands,Asia,2021,F,2,2,30,49,79,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,1429.0,1580.0,2233.0,-0.6,,,,,,,,,47.3
478,Solomon Islands,Asia,2022,F,2,2,30,49,79,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,1371.0,1597.0,2205.0,-4.1,37.7,5.6,27.1,0.78,0.38,0.4,104.7,29.0,45.0
309,Solomon Islands,Asia,2023,F,3,2,29,47,76,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Solomon Islands,Asia,2024,F,3,2,28,47,75,,,,,,,,,,8.0,82.8,86.3,84.6,1.6,1.5,1.6,,,,,,,,,,,,,,,,,,37.0,5.7,28.4,0.82,0.4,0.42,104.6,,
1076,Somalia,Africa,2015,NF,7,7,0,2,2,,,,,,,,,,13.8,20.9,47.9,34.3,23.9,16.0,18.4,,,,,,,,,,,16.4,27.1,41.1,6628.0,6628.0,482.0,23.7,47.6,4.0,22.0,13.81,6.89,6.92,100.4,,1.8
822,Somalia,Africa,2020,NF,7,7,1,6,7,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,8805.0,9204.0,557.0,-2.6,,,,,,,,,15.0
651,Somalia,Africa,2021,NF,7,7,1,6,7,,,,,,,,250.0,,24.4,,,,,,,,,,,,,,,,,,,,9097.0,9839.0,577.0,3.3,,,,,,,,,19.9
479,Somalia,Africa,2022,NF,7,7,1,6,7,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,21.8,32.6,44.5,9319.0,10420.0,592.0,2.4,46.8,4.1,28.4,17.8,8.88,8.92,100.4,638.0,27.6
310,Somalia,Africa,2023,NF,7,7,2,6,8,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Somalia,Africa,2024,NF,7,7,2,6,8,,,,,,,,,,19.6,21.2,47.3,34.1,24.8,16.6,19.1,,,,,,,,,,,,,,,,,,46.6,4.1,30.3,19.01,9.49,9.52,100.4,,
1077,South Africa,Africa,2015,F,2,2,33,48,81,112.3,108.7,108.8,114.5,109.4,110.6,2032.0,7556.0,3248.0,41.5,51.0,65.0,57.7,24.8,21.2,22.9,327.4,33.4,9.0,,,,92.9,,,84.3,,66.6,70.9,346486.0,346486.0,6201.0,1.3,28.3,8.0,46.5,56.72,29.19,27.53,94.3,,51.9
911,South Africa,Africa,2017,F,2,2,33,45,78,,,,,,,,,,,,,,,,,295.5,35.9,9.6,10.0,63.4,,88.5,,,,,,,,,,,,,,,,,,,
872,South Africa,Africa,2019,F,2,2,33,46,79,,,,,,,,,,,,,,,,,,36.7,,9.0,66.0,,,,,,,,,,,,,,,,,,,,,
823,South Africa,Africa,2020,F,2,2,33,46,79,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,337828.0,338291.0,5753.0,-6.0,,,,,,,,,72.1
652,South Africa,Africa,2021,F,2,2,33,46,79,108.2,106.6,96.9,99.3,124.7,105.8,2190.0,7698.0,3164.0,45.8,,,,,,,,,,,,,,,,,,,,353716.0,420118.0,7074.0,4.7,,,,,,,,,74.2
480,South Africa,Africa,2022,F,2,2,33,46,79,,,,,,,,,,46.7,,,,,,,,45.5,,,,,,,,80.5,,71.7,73.1,360474.0,405271.0,6766.0,1.9,26.3,9.8,51.1,62.38,32.07,30.31,94.5,1221.0,74.7
311,South Africa,Africa,2023,F,2,2,33,46,79,,,,,,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,South Africa,Africa,2024,F,2,2,33,46,79,,,,,,,,,,46.0,52.2,64.1,57.9,30.8,26.7,28.6,,,,,,,,,,,,,,,,,,25.9,10.2,52.4,64.01,32.85,31.15,94.8,,
1078,South Sudan,Africa,2015,NF,7,6,2,13,15,14.7,24.8,59.3,83.8,3.8,8.4,108.0,1274.0,56.0,26.5,69.8,71.8,70.8,13.4,11.4,12.4,,,,,,,,,,,,,,6231.0,6231.0,557.0,6.9,43.1,4.1,19.7,11.11,5.61,5.49,97.9,,3.0
893,South Sudan,Africa,2018,NF,7,7,-2,4,2,,,,,6.4,11.3,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,South Sudan,Africa,2020,NF,7,7,-2,4,2,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,6275.0,4207.0,397.0,-3.4,,,,,,,,,9.3
653,South Sudan,Africa,2021,NF,7,7,-2,4,2,,,,,,,205.0,1703.0,,28.5,,,,,,,,,,,,,,,,,,,,6121.0,4292.0,399.0,-2.4,,,,,,,,,9.6
481,South Sudan,Africa,2022,NF,7,7,-3,4,1,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,,,6150.0,4616.0,423.0,0.5,,,,,,,,,12.1
312,South Sudan,Africa,2023,NF,7,7,-3,4,1,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,South Sudan,Africa,2024,NF,7,7,-3,4,1,,,,,,,,,,32.4,70.4,71.2,70.8,12.9,10.7,11.8,,,,,,,,,,,,,,,,,,38.9,5.0,21.2,11.94,6.07,5.87,96.8,,
1079,Spain,Europe,2015,F,1,1,39,57,96,117.7,121.9,102.9,101.5,132.5,127.8,1625.0,3010.0,1688.0,41.1,52.6,64.6,58.5,23.6,20.8,22.1,62.6,0.7,0.2,0.5,0.8,443.1,16.1,98.6,99.5,99.8,,90.2,,1195676.0,1195676.0,25751.0,3.8,15.0,24.0,92.9,46.68,23.7,22.98,96.9,,78.7
825,Spain,Europe,2020,F,1,1,38,54,92,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,1175600.0,1278129.0,26985.0,-11.2,,,,,,,,,93.2
654,Spain,Europe,2021,F,1,1,37,53,90,111.4,111.7,103.1,102.7,132.0,122.3,1724.0,2927.0,1883.0,44.0,,,,,,,,,,,,,,,,,,,,1250875.0,1445652.0,30443.0,6.4,,,,,,,,,93.9
482,Spain,Europe,2022,F,1,1,37,53,90,,,,,,,,,,43.0,,,,,,,42.6,0.7,0.2,0.5,0.9,382.0,31.4,98.6,99.6,99.8,,90.0,,1323059.0,1415874.0,29771.0,5.8,13.6,26.8,95.2,47.83,24.34,23.49,96.5,506.0,94.5
313,Spain,Europe,2023,F,1,1,37,53,90,,,,,,,,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Spain,Europe,2024,F,1,1,37,53,90,,,,,,,,,,44.3,52.3,63.0,57.5,14.1,10.6,12.2,,,,,,,,,,,,,,,,,,12.9,28.1,95.4,47.91,24.39,23.52,96.4,,
1080,Sri Lanka,Asia,2015,PF,5,5,16,25,41,95.5,95.0,97.1,98.0,99.4,89.3,1348.0,1778.0,1264.0,5.8,35.4,73.8,53.7,7.4,3.0,4.5,17.8,2.3,1.2,1.0,3.6,30.1,13.8,37.7,47.3,90.3,,,,85141.0,85141.0,3990.0,4.2,24.7,13.6,346.5,21.73,11.19,10.54,94.2,,15.3
894,Sri Lanka,Asia,2018,PF,3,4,24,31,55,,,,,,,,,,,,,,,,,13.4,2.4,1.2,0.9,3.9,27.8,12.0,,,,,,,,,,,,,,,,,,,
873,Sri Lanka,Asia,2019,PF,3,4,24,32,56,,,,,,,,,,,,,,,,,12.7,3.4,1.0,2.2,4.7,,11.7,,,,,,,,,,,,,,,,,,,
826,Sri Lanka,Asia,2020,PF,4,4,23,33,56,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,92712.0,84441.0,3889.0,-4.6,,,,,,,,,36.2
655,Sri Lanka,Asia,2021,PF,4,4,23,33,56,97.4,96.5,97.9,95.8,89.0,81.1,1388.0,1665.0,1211.0,5.4,,,,,,,,,,,,,,,,,,,,95968.0,89323.0,4102.0,3.5,,,,,,,,,44.5
483,Sri Lanka,Asia,2022,PF,4,4,23,32,55,,,,,,,,,,5.3,,,,,,,,,,,,,,38.7,47.1,83.0,,,,88460.0,76187.0,3490.0,-7.8,22.7,16.4,364.2,22.84,11.78,11.05,93.8,66.0,50.1
314,Sri Lanka,Asia,2023,PF,4,4,23,31,54,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sri Lanka,Asia,2024,PF,4,4,22,32,54,,,,,,,,,,5.3,32.1,71.5,50.7,10.2,4.7,6.6,,,,,,,,,,,,,,,,,,22.0,17.2,368.4,23.1,11.93,11.18,93.7,,
1081,Sudan,Africa,2015,NF,7,7,2,4,6,54.7,59.7,72.6,79.7,41.9,39.7,1027.0,4518.0,1033.0,24.3,28.6,69.4,48.8,29.5,11.8,17.1,,,,,,,,,,,,,,83934.0,83934.0,2199.0,4.0,43.6,4.5,22.7,40.02,20.14,19.88,98.7,,
895,Sudan,Africa,2018,NF,7,7,4,4,8,58.0,60.4,74.9,80.6,42.3,39.4,1108.0,5118.0,1108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Sudan,Africa,2020,NF,7,6,2,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91313.0,34291.0,772.0,-3.6,,,,,,,,,26.4
656,Sudan,Africa,2021,NF,7,6,2,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89607.0,35193.0,771.0,-1.9,,,,,,,,,27.6
484,Sudan,Africa,2022,NF,7,6,0,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87367.0,36729.0,784.0,-2.5,,,,,,,,,28.7
148,Sudan,Africa,2024,NF,7,6,-3,9,6,,,,,,,,,,,28.0,67.7,47.6,34.3,15.1,20.8,,,,,,,,,,,,,,,,,,40.5,5.3,28.6,50.45,25.44,25.01,98.3,,
1082,Suriname,Americas,2015,F,2,2,33,44,77,94.8,84.7,106.8,110.4,62.3,36.6,39.0,72.0,15.0,11.8,44.4,66.8,55.6,11.4,4.4,7.2,53.9,5.9,,3.8,8.0,,,38.2,54.7,63.1,36.2,26.8,22.0,5126.0,5126.0,8908.0,-2.6,28.7,9.3,3.7,0.58,0.29,0.29,101.4,,42.8
828,Suriname,Americas,2020,F,2,3,32,43,75,,,,,,,,,,31.4,,,,,,,,,,,,,,,,,,,,4417.0,4159.0,6851.0,-16.0,,,,,,,,,69.8
657,Suriname,Americas,2021,F,2,2,34,45,79,88.0,80.1,95.6,100.4,47.6,34.9,37.0,63.0,14.0,29.4,,,,,,,,,,,,,,,,,,,,4309.0,3328.0,5430.0,-2.4,,,,,,,,,72.0
485,Suriname,Americas,2022,F,2,2,34,45,79,,,,,,,,,,29.4,,,,,,,99.5,7.3,,3.2,11.4,483.6,60.8,40.8,55.8,63.4,33.9,25.2,20.7,4414.0,3621.0,5859.0,2.4,26.3,11.4,4.0,0.62,0.31,0.31,100.1,164.0,75.8
315,Suriname,Americas,2023,F,2,2,34,45,79,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Suriname,Americas,2024,F,2,2,34,45,79,,,,,,,,,,31.4,45.0,64.4,54.6,10.9,5.5,7.7,,,,,,,,,,,,,,,,,,25.6,12.2,4.1,0.63,0.32,0.32,99.8,,
1083,Sweden,Europe,2015,F,1,1,40,59,99,113.3,108.0,122.1,117.3,179.7,148.5,334.0,792.0,510.0,43.6,61.2,68.0,64.6,7.3,7.6,7.4,47.2,1.1,,0.6,1.7,4057.6,154.7,,99.6,,91.6,95.4,96.0,505104.0,505104.0,51283.0,4.5,17.3,25.4,24.1,9.8,4.9,4.9,100.1,,90.6
829,Sweden,Europe,2020,F,1,1,40,60,100,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,537889.0,547054.0,52759.0,-2.2,,,,,,,,,94.5
658,Sweden,Europe,2021,F,1,1,40,60,100,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,570953.0,639715.0,61117.0,6.1,,,,,,,,,94.7
486,Sweden,Europe,2022,F,1,1,40,60,100,114.6,108.7,120.4,112.7,185.0,153.0,413.0,878.0,596.0,46.1,,,,,,,44.0,1.1,,0.4,1.7,2832.2,198.5,,99.7,,91.8,95.6,96.0,587122.0,591189.0,56040.0,2.8,17.5,25.8,25.7,10.49,5.21,5.28,101.4,439.0,95.0
316,Sweden,Europe,2023,F,1,1,40,60,100,,,,,,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Sweden,Europe,2024,F,1,1,40,59,99,,,,,,,,,,46.7,63.4,70.6,67.0,8.7,8.8,8.7,,,,,,,,,,,,,,,,,,17.0,26.4,26.0,10.61,5.26,5.34,101.5,,
1084,Switzerland,Europe,2015,F,1,1,39,57,96,107.1,107.4,101.9,102.4,98.8,104.2,262.0,490.0,353.0,30.5,62.3,74.2,68.2,4.9,4.7,4.8,7.4,0.7,0.0,0.7,0.7,1906.7,32.7,,96.7,,97.4,99.2,99.9,694118.0,694118.0,83813.0,1.6,14.9,23.5,207.1,8.28,4.19,4.1,97.9,,87.5
830,Switzerland,Europe,2020,F,1,1,39,57,96,,,,,,,,,,41.5,,,,,,,,,,,,,,,,,,,,731109.0,741999.0,85893.0,-2.1,,,,,,,,,94.3
659,Switzerland,Europe,2021,F,1,1,39,57,96,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,770529.0,813409.0,93588.0,5.4,,,,,,,,,95.6
